museum_id,day,open,close
51,Friday,11:00,05:00
51,Saturday,11:00,05:00
52,Sunday,10:00,06:00
52,Tuesday,10:00,06:00
52,Wednesday,10:00,06:00
52,Thursday,10:00,06:00
52,Friday,10:00,06:00
52,Saturday,10:00,06:00
53,Sunday,10:00,05:00
53,Tuesday,10:00,05:00
53,Wednesday,10:00,05:00
53,Thursday,10:00,05:00
53,Friday,10:00,05:00
53,Saturday,10:00,05:00
54,Sunday,12:30,06:00
54,Wednesday,11:00,05:00
54,Thursday,11:00,09:00
54,Friday,11:00,06:00
54,Saturday,11:00,06:00
55,Sunday,10:00,05:30
55,Tuesday,10:00,05:30
55,Wednesday,10:00,05:30
55,Thursday,10:00,05:30
55,Friday,10:00,05:30
55,Saturday,10:00,08:00
56,Sunday,10:00,07:00
56,Tuesday,10:00,07:00
56,Wednesday,10:00,07:00
56,Thursday,10:00,07:00
56,Friday,10:00,07:00
56,Saturday,10:00,07:00
57,Sunday,09:00,06:00
57,Monday,09:00,06:00
57,Tuesday,09:00,06:00
57,Wednesday,09:00,06:00
57,Thursday,09:00,06:00
57,Friday,09:00,06:00
57,Saturday,09:00,06:00
58,Sunday,11:00,06:00
58,Tuesday,11:00,06:00
58,Wednesday,11:00,06:00
58,Thursday,11:00,06:00
58,Friday,11:00,06:00
58,Saturday,11:00,06:00
59,Sunday,11:00,05:00
59,Wednesday,11:00,05:00
59,Thursday,11:00,05:00
59,Friday,11:00,08:00
59,Saturday,11:00,08:00
60,Sunday,10:00,07:00
60,Monday,11:00,06:00
60,Tuesday,11:00,06:00
60,Thursday,11:00,06:00
60,Friday,11:00,08:00
60,Saturday,10:00,07:00
61,Sunday,11:00,06:00
61,Monday,11:00,06:00
61,Tuesday,11:00,06:00
61,Wednesday,11:00,06:00
61,Thursday,11:00,06:00
61,Friday,11:00,06:00
61,Saturday,11:00,08:00
62,Sunday,10:00,06:00
62,Monday,10:00,06:00
62,Tuesday,10:00,06:00
62,Wednesday,10:00,06:00
62,Thursday,10:00,06:00
62,Friday,10:00,06:00
62,Saturday,10:00,06:00
63,Sunday,11:00,04:00
63,Tuesday,11:00,04:00
63,Wednesday,11:00,04:00
63,Thursday,11:00,04:00
63,Friday,11:00,04:00
63,Saturday,11:00,04:00
64,Sunday,10:00,06:00
64,Monday,10:00,06:00
64,Wednesday,10:00,06:00
64,Thursday,10:00,06:00
64,Friday,10:00,06:00
64,Saturday,10:00,06:00
65,Sunday,09:30,05:15
65,Tuesday,09:30,05:15
65,Wednesday,09:30,05:15
65,Thursday,09:30,05:15
65,Friday,09:30,05:15
65,Saturday,09:30,05:15
66,Sunday,11:30,07:00
66,Monday,11:30,07:00
66,Tuesday,11:30,07:00
66,Wednesday,11:30,07:00
66,Thursday,11:30,07:00
66,Friday,11:30,07:00
66,Saturday,11:30,07:00
67,Sunday,10:00,05:00
67,Monday,10:00,05:00
67,Thursday,10:00,05:00
67,Friday,11:00,08:45
67,Saturday,10:00,05:00
68,Sunday,11:00,05:00
68,Monday,11:00,05:00
68,Thursday,11:00,08:00
68,Friday,11:00,05:00
68,Saturday,11:00,05:00
69,Sunday,10:00,04:30
69,Tuesday,10:00,04:30
69,Wednesday,10:00,04:30
69,Thusday,10:00,04:30
69,Friday,10:00,09:00
69,Saturday,10:00,04:30
70,Sunday,08:15,06:30
70,Tuesday,08:15,06:30
70,Wednesday,08:15,06:30
70,Thusday,08:15,06:30
70,Friday,08:15,06:30
70,Saturday,08:15,06:30
71,Sunday,09:00,03:30
71,Tuesday,09:00,03:30
71,Wednesday,09:00,05:00
71,Thusday,09:00,05:00
71,Friday,09:00,03:30
71,Saturday,09:00,03:30
72,Sunday,10:00,06:00
72,Tuesday,10:00,06:00
72,Wednesday,10:00,06:00
72,Thusday,10:00,09:00
72,Friday,10:00,06:00
72,Saturday,10:00,05:00
73,Sunday,10:00,05:00
73,Wednesday,10:00,05:00
73,Thusday,01:00,08:00
73,Friday,10:00,05:00
73,Saturday,10:00,05:00
74,Sunday,10:00,05:00
74,Tuesday,10:00,05:00
74,Wednesday,10:00,05:00
74,Thusday,10:00,05:00
74,Friday,10:00,05:00
74,Saturday,10:00,05:00
75,Sunday,10:00,05:00
75,Tuesday,10:00,05:00
75,Wednesday,10:00,05:00
75,Thusday,10:00,05:00
75,Friday,10:00,05:00
75,Saturday,10:00,05:00
76,Sunday,10:00,05:00
76,Tuesday,10:00,05:00
76,Wednesday,10:00,05:00
76,Thusday,10:00,09:00
76,Friday,10:00,05:00
76,Saturday,10:00,05:00
77,Sunday,12:00,05:00
77,Tuesday,10:00,05:00
77,Wednesday,10:00,05:00
77,Thusday,10:00,09:00
77,Friday,10:00,05:00
77,Saturday,12:00,08:00
78,Sunday,10:00,05:00
78,Tuesday,10:00,05:00
78,Wednesday,10:00,05:00
78,Thusday,10:00,05:00
78,Friday,10:00,05:00
78,Saturday,10:00,05:00
79,Sunday,10:00,05:00
79,Tuesday,10:00,08:00
79,Wednesday,10:00,08:00
79,Thusday,10:00,05:00
79,Friday,10:00,05:00
79,Saturday,10:00,05:00
80,Sunday,11:00,05:00
80,Tuesday,11:00,08:00
80,Wednesday,11:00,08:00
80,Thusday,11:00,05:00
80,Friday,11:00,09:00
80,Saturday,11:00,05:00
81,Sunday,10:00,05:00
81,Tuesday,10:00,09:00
81,Wednesday,10:00,05:00
81,Thusday,10:00,05:00
81,Friday,10:00,05:00
81,Saturday,10:00,05:00
82,Sunday,10:00,06:00
82,Monday,10:00,06:00
82,Tuesday,10:00,09:00
82,Wednesday,10:00,06:00
82,Thursday,10:00,06:00
82,Friday,10:00,06:00
82,Saturday,10:00,06:00
83,Sunday,12:00,05:00
83,Tuesday,10:00,05:00
83,Wednesday,10:00,05:00
83,Thusday,10:00,05:00
83,Friday,10:00,05:00
83,Saturday,10:00,05:00
84,Sunday,10:00,06:00
84,Monday,10:00,06:00
84,Tuesday,10:00,06:00
84,Wednesday,10:00,06:00
84,Thursday,10:00,06:00
84,Friday,10:00,06:00
84,Saturday,10:00,06:00
85,Sunday,12:00,07:00
85,Monday,12:00,05:00
85,Thursday,12:00,05:00
85,Friday,12:00,05:00
85,Saturday,12:00,05:00
86,Sunday,10:00,06:00
86,Monday,10:00,06:00
86,Tuesday,10:00,06:00
86,Wednesday,10:00,06:00
86,Thursday,10:00,06:00
86,Friday,10:00,06:00
86,Saturday,10:00,06:00
